,compounds,mzs,shortRT,mz,ratios,gro,int,longRT,estC,SS,phenolics,acid,NN,aliph,CO,bs,ord,,,,,,,,,,,,
7.62,,192.064,11.20882775,c(192.063522644301, 193.067852932974),c(1, 0.0990116512687116),7,c(73419.7987692723, 7265.43043705052),20.09140773,8,0,0,1,0,0,0,0,26,,,,,,,,,
7.312,chlorogenic acid (non-unique hit)  OR  cryptochlorogenic acid (non-unique hit),354.095,11.1901978,c(354.095236617563,355.099255, 356.075089918825),c(1,0.190450024, 0.262480811406092),7,c(62199.7407628817,11849.7782, 16326.8724710611),20.06262476,16,0,1,0,0,0,0,1,295,,,,,,
7.36,,376.094,11.20171128,c(376.094260071361, 377.085281834),c(1, 0.178988922810676),7,c(155099.108931142, 27763.634765842),20.08042594,15,0,1,0,0,0,0,1,345,,,,,,,,,
7.403,,392.056,11.20082167,c(392.05620476251, 393.056721412116),c(1, 0.256782206375459),7,c(5065.45286440878, 1308.35316289207),20.079052,22,0,3,0,0,0,0,0,388,,,,,,,,,
7.491,,432.128,11.17080498,c(432.128159488605, 433.131103638769),c(1, 0.201014846967192),7,c(52590.3503753318, 10575.366715708),20.03254608,17,0,1,0,0,0,0,1,477,,,,,,,,,
7.1139,,708.19,11.19050962,c(708.190051900089,709.1928244, 710.196848425353),c(1,0.407277364, 0.218466802254086),7,c(9421.84044629509,3838.38183, 2060.7236431784),20.06310743,36,0,4,0,0,0,0,1,1139,,,,,,
7.1189,,732.156,11.20636272,c(732.155944873056, 733.152580363817),c(1, 0.426636573601684),7,c(2477.94710499899, 1054.18553033851),20.08760565,37,0,4,0,0,0,0,1,1189,,,,,,,,,
7.1574,,985.391,11.19961042,c(985.390879716241,986.3914709, 987.395978720357),c(1,0.446635205, 0.156565632017242),7,c(14004.518936765,6246.752134, 2188.58010978672),20.07718091,39,0,2,0,1,0,0,1,1574,,,,,,
9.8,,202.121,14.44294673,c(202.120932713451, 203.123494184746),c(1, 0.141270537011737),9,c(9622.77000288903, 1365.66393658212),23.35248282,12,0,1,0,0,0,0,0,47,,,,,,,,,
9.159,,268.096,14.44101006,c(268.095609889234, 269.096548012687),c(1, 0.165582524305394),9,c(39880.6940927103, 6606.44416151001),23.35146754,14,0,1,0,0,0,0,0,139,,,,,,,,,
9.304,,352.063,14.45948422,c(352.063001538019, 353.064525802845),c(1, 0.158296020733535),9,c(138591.346128988, 21941.0834077697),23.36111886,14,0,1,0,0,0,0,1,287,,,,,,,,,
9.845,,582.193,14.48420171,c(582.193436008145, 583.195638785382),c(1, 0.33496603662839),9,c(14697.6985894412, 4919.89976642043),23.37391527,29,0,3,0,0,0,0,1,841,,,,,,,,,
9.852,,586.227,14.45797814,c(586.226778831557, 587.227927986257),c(1, 0.339307425337742),9,c(11597.2920548764, 3937.3184959616),23.36033485,30,0,3,0,0,0,0,1,848,,,,,,,,,
10.98,,216.137,21.4335223,c(216.13673828584,217.1382875, 218.152664944264),c(1,0.144675982, 0.22337486194034),10,c(19574.2145281873,2831.918703, 4372.38746782442),37.08333224,12,0,0,1,0,0,0,0,75,,,,,,
10.204,,298.161,21.48009681,c(298.160731891835, 299.165329386227),c(1, 0.192329075077221),10,c(2196272.55963567, 422407.070012209),37.41433289,17,0,1,0,0,0,0,0,185,,,,,,,,,
10.207,,300.064,21.43776738,c(300.064133431395, 301.067788454009),c(1, 0.180451023888269),10,c(273634.685304666, 49377.6591345712),37.11323437,16,0,2,0,0,0,0,0,189,,,,,,,,,
10.254,,330.074,21.42626563,c(330.073762479629, 331.078125163868),c(1, 0.194166084374251),10,c(572774.61732805, 111213.404675548),37.0323401,17,0,2,0,0,0,0,0,236,,,,,,,,,
10.28,,340.207,21.44515333,c(340.207126640203, 341.211751410314),c(1, 0.225169779201341),10,c(1251663.77597029, 281836.856069548),37.16538791,20,0,1,0,0,0,0,0,262,,,,,,,,,
10.307,,352.225,21.45424201,c(352.224667962843,353.2260955, 354.240731441592),c(1,0.202237581, 0.780825292653532),10,c(44177.7177050561,8934.394755, 34495.0793558155),37.22978718,18,0,1,1,0,0,0,1,290,,,,,,
10.334,,362.302,21.42770928,c(362.302233719438, 363.305658152143),c(1, 0.217153028095029),10,c(16457.3157894383, 3582.72865291083),37.04247212,19,0,1,1,0,0,0,1,319,,,,,,,,,
10.357,,374.268,21.41658992,c(374.26769791202, 375.271056544518),c(1, 0.218191566545373),10,c(166740.716159428, 36381.418065723),36.96459136,19,0,1,1,0,0,0,1,342,,,,,,,,,
10.365,,380.021,21.47014908,c(380.021394800128,381.0248349, 382.014337334881),c(1,0.233246914, 0.127895572146547),10,c(17097.0016618719,3987.822868, 2186.63080953557),37.34309165,20,1,2,0,0,0,0,0,350,,,,,,
10.4,,390.264,21.46145123,c(390.264325295834, 391.264251042094),c(1, 0.175894546568375),10,c(45135.6698091937, 7939.11817514803),37.28104417,15,0,0,1,0,0,0,1,385,,,,,,,,,
